Bank,Credit Card,Photo Direct Link,Points or Cashback?,"If Points, Type?",General Cashback,Restaurants,Groceries,Drug Store,Gas,Travel,Entertainment,Bill Payments,Store,Cashback,Notes
MNBA,Nordstrom Rewards Visa,https://www.mbna.ca/en/images/nordstrom-medium-en_tcm378-267450.png,Points,Nordstrom Points,1%,1%,1%,1%,1%,1%,1%,1%,"Nordstrom, Nordstrom Rack",2%,
MNBA,MelaleucaMastercard®,https://www.mbna.ca/en/images/melaleuca-medium-en_tcm378-267338.png,Points,Melaleuca Loyalty Shopping Dollars,1%,4%,4%,1%,4%,1%,1%,1%,,,
MNBA,The Royal Canadian Legion® MBNA Rewards Mastercard®,https://www.mbna.ca/en/images/AAGOXX_REW_CC_CTM_SML_MKT_E_tcm378-272710.png,Points,MBNA Points,1%,1%,1%,1%,1%,1%,1%,2%,,,
Scotiabank,Scotia Momentum® Visa Infinite Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Momentum_Visa_Infinite_ENG.png,Cashback,,1%,4%,4%,1%,2%,1%,1%,4%,"Daily transit, subscriptions","2%, 4%",
Scotiabank,Scotiabank Passport™ Visa Infinite Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Scotia_Passport_VisaInfinite_ENG.png,Points,Scotia Rewards,1%,2%,2%,1%,1%,1%,2%,0%,Dailyt ransit,2%,
Scotiabank,Scotiabank Gold American Express® Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Gold_American_Express_Card_Eng.png,Points,Scotia Rewards,1%,1%,1%,1%,3%,1%,1%,1%,Daily transit,3%,
Scotiabank,SCENE® Visa Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Scotia_Scene_Eng.png,Points,SCENE,1%,1%,1%,1%,1%,1%,1%,1%,Cineplex,5%,
Scotiabank,Scotia Momentum® Mastercard® Credit Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Momentum_MC_ENG.png,Cashback,,0.50%,0.50%,1%,1%,1%,0.50%,0.50%,1%,,,
Scotiabank,Scotia Momentum® Visa Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Momentum_Visa_ENG.png,Cashback,,1%,1%,2%,2%,2%,1%,1%,2%,,,
Scotiabank,Scotia Momentum® No-Fee Visa Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Momentum_Visa_ENG.png,Cashback,,0.50%,0.50%,1%,1%,1%,0.50%,0.50%,1%,,,
Scotiabank,Scotiabank American Express® Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Amex_Red_ENG.png,Points,Scotiabank rewards points,1%,1%,1%,1%,1%,1%,1%,1%,,,
Scotiabank,Scotiabank Platinum American Express® Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Amex_Platinum_ENG.png,Points,Scotiabank rewards points,1%,4%,4%,1%,4%,1%,4%,1%,,,
Scotiabank,ScotiaGold Passport® Visa Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/ScotiaGold_Passport_ENG.png,Points,Scotiabank rewards points,1%,1%,1%,1%,1%,1%,1%,1%,Scotiabank Rewards Travel Service,5%,
Scotiabank,Scotiabank Value® Visa Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Value_Visa_ENG.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
Scotiabank,Scotiabank® GM® Visa Infinite Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/ScotiaClassic_NoFee_ENG.png,Points,GM Earnings,5%,5%,5%,5%,5%,5%,5%,5%,,,
Scotiabank,L'earn™ Visa Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Learn_Visa_ENG.png,Cashback,,1%,1%,1%,1%,1%,1%,1%,1%,,,
Scotiabank,SCENE®* Visa Card-Student,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/Scotia_Scene_Eng.png,Points,SCENE,1%,1%,1%,1%,1%,1%,1%,1%,Cineplex,5%,
Scotiabank,Scotiabank® GM® Visa Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/ScotiaClassic_Infinite_ENG.png,Points,GM Earnings,2%,2%,2%,2%,2%,2%,2%,2%,,,
Scotiabank,Scotiabank ® U.S. Dollar VISA Card,https://www.scotiabank.com/content/dam/scotiabank/canada/en/card-arts/BNSUSDollar_Visa_ENG.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
Tangerine,Money-Back Credit Card,https://www.tangerine.ca/Tangerine_FBE/content/Main/Product_NEW/Spending/Credit-Card/images/General_Product_Page_Money_Back.png,Cashback,,2%,2%,2%,2%,2%,2%,2%,2%,,,
Tangerine,World Mastercard,https://www.tangerine.ca/Tangerine_FBE/content/Main/Product_NEW/Spending/Credit-Card/images/General%20Product%20Page%20World%20Mastercard.png,Cashback,,2%,2%,2%,2%,2%,2%,2%,2%,,,
